;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;B32;B33;B34;B35;B36;B37;B38;B39;B40;B41;B42;B43;B44;B45;B46;B47;B48;B49;B50;B51;B52;B53;B54;B55;B56
A1_2020;0;0;0;0;0;0;0;0;0;0;0;16;18;13;0;13;0;0;0;0;0;0;10;8;0;0;0;0;0;9;4;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1_2021;0;0;0;0;0;0;0;0;0;0;0;0;0;21;22;32;0;0;0;6;0;0;6;0;5;0;15;0;12;0;20;10;0;0;10;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1_2022;0;0;0;0;0;13;0;0;0;9;11;0;11;17;0;0;3;5;0;10;1;0;11;3;0;3;0;11;7;2;8;0;2;0;0;5;4;0;0;6;0;0;0;0;0;0;0;0;6;0;0;7;0;0;0;0
A2_2020;0;0;0;8;0;0;0;14;0;0;13;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2_2021;0;32;0;11;0;0;0;0;11;0;0;19;0;24;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2_2022;0;0;0;0;0;0;0;0;0;0;7;0;19;19;0;24;0;10;8;7;0;8;4;0;0;0;6;5;0;0;3;0;4;0;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BG_2020;0;0;0;0;0;0;0;0;19;0;10;11;13;0;25;0;0;0;9;3;0;0;6;0;2;1;0;0;5;0;5;6;0;0;0;5;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BG_2021;0;45;0;11;0;0;11;0;24;0;4;0;12;22;0;0;0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;32;51;22;0;0;13;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BG_2022;0;0;9;17;0;15;0;2;0;7;18;0;23;26;0;24;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0;21;0;13;0;0;0;0;21;0;0;21;0;0;21;0;0;21;21;0;0;0;0;0;0;0
CT_2020;0;0;0;0;9;0;6;20;9;6;20;9;0;53;0;6;0;18;0;5;0;0;30;7;30;0;0;38;27;6;19;0;0;6;7;5;4;7;5;0;0;0;0;0;0;0;0;0;0;15;0;15;0;0;0;0
CT_2021;0;0;0;0;0;0;6;20;9;6;20;9;0;53;0;0;0;5;0;0;8;0;0;23;0;0;0;0;0;17;12;0;0;6;7;5;4;7;5;0;0;0;0;0;0;0;0;0;0;15;0;15;0;0;0;0
CT_2022;2;8;6;6;4;7;4;0;14;11;0;5;0;0;14;14;0;0;0;8;0;0;6;5;2;5;0;6;4;5;0;4;3;0;6;14;0;16;0;15;7;1,9;7;6;5;5;4;2;3;0;9;9;0;6;5;5


